text,class,predicted_class,polarity,weight,significant_words
"b'RT @SumishaCNA: Chants of ""Reformasi"" as Pakatan &amp; Dr Mahathir supporters arrive at nomination centre. ""Reformasi"" means ""reformation"". But'",0,0,-0.5,1.0,of+amp+arrive+at+nomination+centre+reformation
b'RT @TheRakyatRasmi: Pembangkang licik lari ke tempat selamat - PM Najib - https://t.co/3kVm36ioIK #therakyat',1,0,-0.45,2.0,licik+lari+ke+tempat+selamat
"b'RT @NaezaFinaz: @NajibRazak Ni ke cara Najib berkempen?Macam kempen ketua darjah sekolah rendah jer guna taktik hina pihak lawan.Oh ya lah,'",0,0,-0.8,1.0,ke+cara+berkempen+kempen+ketua+darjah+sekolah+rendah+jer+guna+taktik+hina+pihak+ya+lah
b'@aishasbrdn Modal Najib ni Aishah...dah terkepit...',0,1,0,0.0,b+aishasbrdn+ni+dah+terkepit
"b'RT @TheDukeofKL: Sejarah Hitam YB Khairy Jamaluddin Yang Tidak Diketahui Ramai\n\n1. Selepas kekalahan teruk BN dlm PRU12 pd 2008, berlaku de'",0,0,-0.4,2.0,kekalahan+teruk+dlm+pd+berlaku+de
b'RT @napiez: Im gonna put my expectations low. BN to lose enough seats for UMNO to push Najib out. BN to win Ktan but lose Johor.',0,0,-0.024999999999999994,4.0,gon+na+put+my+low+to+lose+enough+for+to+push+out+to+win+but+lose
"b'RT @MsiaChronicle: PAKATAN BOUNCES BACK - FIRST NIGHT, MALAYSIA ALREADY FIRED UP: TENS OF THOUSANDS PACK PENANG TO HEAR GUAN ENG, MARINA MA'",0,1,0,0,
"b'@mkabmr @niknazmi @zulhasnan118 Itu Najib Razak. BN memang mcm tu, dah masuk tipu macam2 last last kata dah pulangkan balik. Hahaha'",0,0,-0.5,1.0,b+mkabmr+niknazmi+zulhasnan118+memang+mcm+tu+dah+masuk+tipu+macam2+last+last+kata+dah+pulangkan+balik
"b'RT @sabatinidzue: Suami ckp smlm masa Solat Jumaat\n\nHabis solat, Imam baca doa.\n\nDah elok bahasa Arab, tiba - tiba..\n\nYa Allah, bantulah D'",1,1,0.15,1.0,ckp+smlm+masa+solat+baca+elok+bahasa+tiba+bantulah
b'RT @Fred9Fareed: Sebab tu PRU 14 ni kita kena tolak UMNO dan PAS. Satu parti mainkan isu sentimen perkauman. Satu parti lagi mainkan isu se',0,0,-0.3,1.0,tu+ni+kita+kena+tolak+dan+parti+mainkan+isu+sentimen+perkauman+parti+lagi+mainkan+isu+se
"b""RT @khalidkarim: I want PH to win cos;\n1)Only way to get to the bottom of the 1MDB story.\n2)Review of Najib's megaprojects can give us bett""",0,1,0.8,1.0,b+khalidkarim+want+to+win+n1+way+to+get+to+the+bottom+of+the+of+'s+megaprojects+can+give+bett
"b'RT @NaezaFinaz: @NajibRazak Ni ke cara Najib berkempen?Macam kempen ketua darjah sekolah rendah jer guna taktik hina pihak lawan.Oh ya lah,'",0,0,-0.8,1.0,ke+cara+berkempen+kempen+ketua+darjah+sekolah+rendah+jer+guna+taktik+hina+pihak+ya+lah
b'@iamharizshah @chedetofficial Abislah Najib tahu kena tebanglah nanti!!Kenapa beritahu..hmm..',0,1,0,0.0,b+iamharizshah+chedetofficial+tahu+kena+tebanglah+nanti+beritahu..hmm
b'RT @Fred9Fareed: Sebab tu PRU 14 ni kita kena tolak UMNO dan PAS. Satu parti mainkan isu sentimen perkauman. Satu parti lagi mainkan isu se',0,0,-0.3,1.0,tu+ni+kita+kena+tolak+dan+parti+mainkan+isu+sentimen+perkauman+parti+lagi+mainkan+isu+se
b'RT @Fred9Fareed: Sebab tu PRU 14 ni kita kena tolak UMNO dan PAS. Satu parti mainkan isu sentimen perkauman. Satu parti lagi mainkan isu se',0,0,-0.3,1.0,tu+ni+kita+kena+tolak+dan+parti+mainkan+isu+sentimen+perkauman+parti+lagi+mainkan+isu+se
"b'RT @TheDukeofKL: Sejarah Hitam YB Khairy Jamaluddin Yang Tidak Diketahui Ramai\n\n1. Selepas kekalahan teruk BN dlm PRU12 pd 2008, berlaku de'",0,0,-0.4,2.0,kekalahan+teruk+dlm+pd+berlaku+de
"b'RT @faiizmdnoor: @mirchigo_ @ABGKYO Betapa teruknya najib sampai dia sanggup jilat balik ludah dia, see that way bro, how hard pemerintahan'",0,0,-0.4,2.0,mirchigo+teruknya+najib+sampai+dia+sanggup+jilat+balik+ludah+dia+see+that+way+bro+how+hard+pemerintahan
b'RT @TheRakyatRasmi: Pembangkang licik lari ke tempat selamat - PM Najib - https://t.co/3kVm36ioIK #therakyat',1,0,-0.45,2.0,licik+lari+ke+tempat+selamat
"b'RT @SumishaCNA: Chants of ""Reformasi"" as Pakatan &amp; Dr Mahathir supporters arrive at nomination centre. ""Reformasi"" means ""reformation"". But'",0,0,-0.5,1.0,of+amp+arrive+at+nomination+centre+reformation
b'Pekan incumbent Najib Razak urges army personnel to join him in the fight against fake news . Mr Najib is https://t.co/sruit6jyz9',1,0,-0.3,2.0,incumbent+army+personnel+to+join+him+in+the+fight+against+fake+news+is
"b'RT @syahredzan: Untuk PRU ini, walau parti manapun yang anda sokong, jika anda mahu lihat kerajaan baru, anda kena undi calon PH.\n\nSbg seor'",0,1,1.0,1.0,syahredzan+ini+walau+parti+manapun+yang+anda+sokong+jika+anda+mahu+lihat+kerajaan+baru+anda+kena+undi+calon+seor
b'RT @Fred9Fareed: Sebab tu PRU 14 ni kita kena tolak UMNO dan PAS. Satu parti mainkan isu sentimen perkauman. Satu parti lagi mainkan isu se',0,0,-0.3,1.0,tu+ni+kita+kena+tolak+dan+parti+mainkan+isu+sentimen+perkauman+parti+lagi+mainkan+isu+se
b'Tun&gt;Najib https://t.co/ZdjG5WW63t',1,1,0,0.0,gt
b'RT @RizaTann: The problem with Opposition today:\n\n1) U only present urself as alternate to BN. U dont give voters a POSITIVE REASON to vote',1,1,0.2,1.0,problem+with+today+only+present+urself+alternate+to+dont+give+a+to+vote
b'Tahniah @relamalaysia !! https://t.co/qDTUpkTPBU',1,1,0,0.0,relamalaysia
b'RT @firdyfire: ATTN: @mpkotabelud .. Jibby bitching about you bro? Larian Kotabelud - Sepanggar. https://t.co/gOkdVGKauH',0,0,-0.5,1.0,mpkotabelud+bitching+about+you+bro
b'RT @Fred9Fareed: Sebab tu PRU 14 ni kita kena tolak UMNO dan PAS. Satu parti mainkan isu sentimen perkauman. Satu parti lagi mainkan isu se',0,0,-0.3,1.0,tu+ni+kita+kena+tolak+dan+parti+mainkan+isu+sentimen+perkauman+parti+lagi+mainkan+isu+se
"b'RT @TheDukeofKL: Sejarah Hitam YB Khairy Jamaluddin Yang Tidak Diketahui Ramai\n\n1. Selepas kekalahan teruk BN dlm PRU12 pd 2008, berlaku de'",0,0,-0.4,2.0,kekalahan+teruk+dlm+pd+berlaku+de
"b'@walid_joe Sb pengundi cina bijak2 la dia undi sb dia tau dia boleh makan najib,tun depa xboleh nk makan'",1,0,-0.3,1.0,b+walid_joe+pengundi+cina+bijak2+la+dia+undi+sb+dia+tau+dia+boleh+makan+najib+tun mahathir+depa+xboleh+nk+makan
b'RT @ayshardzn: I had to look at Najibs face along the highway from JB to KL. Basically all the Big Tree billboard will either have BN mani',0,1,0,0.0,had+to+look+at+face+along+the+highway+from+to+all+the+billboard+will+either+have+mani
"b'Kalau Adnan still calon MB Pahang, aku doakan PH menang kat Pahang. Biar jadi macam Selangor. Macam-macam najib bua https://t.co/rhjjnbOcBg'",0,1,0.5,1.0,still+calon+aku+doakan+menang+kat+jadi+macam+najib+bua
b'@kyellz if najib trun! tibah! haha',0,1,0.2,1.0,b+kyellz+if+najib+trun+tibah+haha
"b'RT @sabatinidzue: Suami ckp smlm masa Solat Jumaat\n\nHabis solat, Imam baca doa.\n\nDah elok bahasa Arab, tiba - tiba..\n\nYa Allah, bantulah D'",1,1,0.15,1.0,ckp+smlm+masa+solat+baca+elok+bahasa+tiba+bantulah
"b'RT @MsiaChronicle: ON DAY 2, MAHATHIR LEAVES NAJIB FURTHER BEHIND IN FIGHT FOR HEARTS &amp; MINDS OF MALAYSIANS: WILY EX-PM APPEARS IN EMOTIONA'",0,1,0,0.0,amp
b'RT @chedetofficial: Najib kata saya tak buat apa-apa pembangunan semasa saya jadi PM ? \n\nSaya setuju dengan dia.\n\nIni jawapan saya. https:/',0,0,-0.3,2.0,chedetofficial+kata+saya+tak+buat+apa-apa+pembangunan+semasa+saya+jadi+setuju+dengan+jawapan+saya
"b'RT @sabatinidzue: Suami ckp smlm masa Solat Jumaat\n\nHabis solat, Imam baca doa.\n\nDah elok bahasa Arab, tiba - tiba..\n\nYa Allah, bantulah D'",1,1,0.15,1.0,ckp+smlm+masa+solat+baca+elok+bahasa+tiba+bantulah
"b'RT @tapaimalaya: All we want is a Malaysian government, not a Malay government sprinkled with spices and soy sauce, so you can fuck off and'",0,1,0.6,1.0,we+want+is+a+government+not+a+government+sprinkled+with+and+soy+sauce+so+you+can+fuck+off+and
b'rosy cheek segala https://t.co/dsVyP9xK0W',1,1,0,0.0,cheek+segala
"b""RT @warabiyah: Pandikar will be speaker again if BN wins. And cabinet will be same old fat corrupted Najib's baruahs. I don't want that. So""",0,0,-0.3,2.0,b+warabiyah+will+be+speaker+again+if+cabinet+will+be+same+old+fat+corrupted+'s+baruahs+do+want+that
"b'RT @sabatinidzue: Suami ckp smlm masa Solat Jumaat\n\nHabis solat, Imam baca doa.\n\nDah elok bahasa Arab, tiba - tiba..\n\nYa Allah, bantulah D'",1,1,0.15,1.0,ckp+smlm+masa+solat+baca+elok+bahasa+tiba+bantulah
b'RT @bongkersz: Yang penting Najib bangga.\n\nhttps://t.co/H3x3CdheNY',1,1,0,0.0,penting
b'RT @TheRakyatRasmi: Pembangkang licik lari ke tempat selamat - PM Najib - https://t.co/3kVm36ioIK #therakyat',1,0,-0.45,2.0,licik+lari+ke+tempat+selamat
b'RT @TheRakyatRasmi: Pembangkang licik lari ke tempat selamat - PM Najib - https://t.co/3kVm36ioIK #therakyat',1,0,-0.45,2.0,licik+lari+ke+tempat+selamat
b'RT @NaufalAntezem: Replace Najib with Tok Mat of Negeri Sembilan. Easy win for BN.',0,1,0.8,1.0,with+of+win+for
b'@syahirahamim1 Najib hahaha',1,1,0.2,1.0,b+syahirahamim1+hahaha
"b'RT @tapaimalaya: All we want is a Malaysian government, not a Malay government sprinkled with spices and soy sauce, so you can fuck off and'",0,1,0.6,1.0,we+want+is+a+government+not+a+government+sprinkled+with+and+soy+sauce+so+you+can+fuck+off+and
"b'RT @sabatinidzue: Suami ckp smlm masa Solat Jumaat\n\nHabis solat, Imam baca doa.\n\nDah elok bahasa Arab, tiba - tiba..\n\nYa Allah, bantulah D'",1,1,0.15,1.0,ckp+smlm+masa+solat+baca+elok+bahasa+tiba+bantulah
"b'RT @yipsubri: Kalau Adnan still calon MB Pahang, aku doakan PH menang kat Pahang. Biar jadi macam Selangor. Macam-macam najib buat nak tari'",0,1,0.5,1.0,still+calon+aku+doakan+menang+kat+jadi+macam+najib+buat+nak+tari
b'This looks like one of my grumpy instastories https://t.co/CaXETp0Qfs',0,0,-0.4,1.0,like+one+of+my+grumpy+instastories
"b'RT @syahredzan: Untuk PRU ini, walau parti manapun yang anda sokong, jika anda mahu lihat kerajaan baru, anda kena undi calon PH.\n\nSbg seor'",0,1,1.0,1.0,syahredzan+ini+walau+parti+manapun+yang+anda+sokong+jika+anda+mahu+lihat+kerajaan+baru+anda+kena+undi+calon+seor
"b""RT @khalidkarim: I want PH to win cos;\n1)Only way to get to the bottom of the 1MDB story.\n2)Review of Najib's megaprojects can give us bett""",0,1,0.8,1.0,b+khalidkarim+want+to+win+n1+way+to+get+to+the+bottom+of+the+of+'s+megaprojects+can+give+bett
b'RT @chedetofficial: Najib kata saya tak buat apa-apa pembangunan semasa saya jadi PM ? \n\nSaya setuju dengan dia.\n\nIni jawapan saya. https:/',0,0,-0.3,2.0,chedetofficial+kata+saya+tak+buat+apa-apa+pembangunan+semasa+saya+jadi+setuju+dengan+jawapan+saya
b'harap Najib still PM https://t.co/OtZP31mFZX',1,1,0,0.0,still
b'RT @Actor_Vivek: Wrong news! Some one replaced the photo. It was originally Dr.Tun.M pic only. I m not a politician. But just a fan of Dr.M',0,0,-0.5,0.75,news+one+replaced+the+photo+originally+pic+only+m+not+a+politician+just+a+fan+of
